icao	city	country	state	name	type	longitude	latitude	elevation
RCMQ	Taichung (Qingshui)	Taiwan	Taichung (city)	Taichung International Airport / Ching Chuang Kang Air Base	medium_airport	120.6210020	24.2647000	663
RCMT	Matsu (Beigan)	Taiwan	Lienchiang County	Matsu Beigan Airport	medium_airport	120.0029980	26.2241990	41
RCNN	Tainan (Rende)	Taiwan	Tainan City	Tainan International Airport / Tainan Air Base	medium_airport	120.2060010	22.9503990	63
RCPO	Hsinchu City	Taiwan	Hsinchu (city)	Hsinchu Air Base	medium_airport	120.9390030	24.8180008	26
RCQC	Huxi	Taiwan	Penghu	Penghu Magong Airport	medium_airport	119.6279980	23.5687010	103
RCQS	Taitung City	NULL	NULL	Chihhang Air Base	medium_airport	121.1819990	22.7931000	121
RCSQ	Pingtung	Taiwan	Pingtung County	Pingtung North Airport	medium_airport	120.4820023	22.7001991	97
RCSS	Taipei City	NULL	NULL	Taipei Songshan Airport	medium_airport	121.5520020	25.0694008	18
RCTP	Taoyuan	China	Taiwan	Taiwan Taoyuan International Airport	large_airport	121.2330020	25.0777000	106
RCWA	Wang'an	Taiwan	Penghu County	Wang'an Airport	small_airport	119.5035980	23.3691080	115
RCYU	Hualien City	Taiwan	Hualien County	Hualien Airport	medium_airport	121.6179962	24.0230999	52
RJAA	Narita	NULL	NULL	Narita International Airport	large_airport	140.3860020	35.7647020	141
RJAF	Matsumoto	Japan	Nagano Prefecture	Shinshu-Matsumoto Airport	medium_airport	137.9230040	36.1668010	2182
